,150,450a,550a,009a,all_categories,kategorie_tematyczne,subject_category,item,ukLabel,deLabel,frLabel,enLabel,plLabel,itemId,lcsh,yso,550g,550h,009,455,555a,555g,555h,155
Nagroda Fandomu Polskiego im. Janusza A. Zajdla,Nagroda Fandomu Polskiego im. Janusza A. Zajdla,"['Nagroda im. Janusza A. Zajdla', 'Nagroda Literacka im. Janusza A. Zajdla']",,['9810591833205606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Nagrody literackie'],,,,,,,
Mitologia inkaska,Mitologia inkaska,['Mitologia Inków'],,['9810689997805606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q629040,Міфологія інків,Mythologie der Inka,mythologie Inca,Inca mythology,wierzenia Inków,Q629040,,,"['Mitologia Indian', 'Inkowie']",,,,,,,
Wróżki (stworzenia fantastyczne),Wróżki (stworzenia fantastyczne),"['Wróżki (postacie baśniowe)', 'Czarodziejki', 'Wieszczki', 'Fairies']",,['9810531331405606'],Etnologia i antropologia kulturowa Literaturoznawstwo,"['Etnologia i antropologia kulturowa', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Stworzenia fantastyczne', 'Magia', 'Wróżbiarstwo', 'Zaklęcia i czary']",,,,,,,
Dzień Poezji (21 marca),Dzień Poezji (21 marca),"['Dzień Poezji', '21 marca', 'Dwudziesty pierwszy marca', 'Światowy Dzień Poezji']",,['9810662749305606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Święta'],,,,,,,
Koncept (literatura),Koncept (literatura),,['Stylistyka'],['9810680001305606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Filologia azerbejdżańska,Filologia azerbejdżańska,,,['9810663927805606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Orientalistyka', 'Język azerbejdżański']",,,,,,,
Petrarkizm,Petrarkizm,,,['9810654415005606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q1469679,Петраркізм,Petrarkismus,Pétrarquisme,Petrarchism,Petrarkizm,Q1469679,sh85100341,,['Prądy i kierunki literackie'],,,,,,,
Postacie fikcyjne,Postacie fikcyjne,"['Bohater fantastyczny', 'Bohater filmowy', 'Bohater literacki', 'Postać fantastyczna', 'Postać legendarna', 'Postać z gry', 'Postaci fikcyjne', 'Postaci literackie', 'Postacie literackie']","['Fikcja literacka', 'Metamorfoza postaci', 'Postacie historyczne', 'Sobowtór', 'Stworzenia fantastyczne', 'Superbohaterowie', 'Wirtualny zespół (muzyka)', 'Zamiana ról']",['9810623477905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Antybohater', 'Czarny charakter', 'Księżniczki i królewny (postacie fikcyjne)', 'Postacie mitologiczne', 'Postać biblijna', 'Postać filmowa', 'Postać literacka', 'Rodziny fikcyjne']",,,,,,
Pisarze niemieccy,Pisarze niemieccy,"['Authors, German ']",['Pseudonimy i kryptonimy niemieckie'],['9810570807505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Dramaturdzy niemieccy', 'Poeci niemieccy', 'Scenarzyści filmowi niemieccy']",,,,,,
Pisarze austriaccy,Pisarze austriaccy,"['Authors, Austrian ']",['Pseudonimy i kryptonimy austriackie'],['9810570807705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Dramaturdzy austriaccy', 'Poeci austriaccy', 'Scenarzyści filmowi austriaccy']",,,,,,
Pisarze szwajcarscy,Pisarze szwajcarscy,"['Authors, Swiss']",['Pseudonimy i kryptonimy szwajcarskie'],['9810570807805606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Poeci szwajcarscy', 'Scenarzyści filmowi szwajcarscy']",,,,,,
Pisarze europejscy,Pisarze europejscy,"['Authors, European']",,['9810684951305606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,['Poeci europejscy'],,,,,,
Pisarze czescy,Pisarze czescy,"['Authors, Czech ']",['Pseudonimy i kryptonimy czeskie'],['9810680598205606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Dramaturdzy czescy', 'Poeci czescy', 'Scenarzyści filmowi czescy']",,,,,,
Pisarze węgierscy,Pisarze węgierscy,"['Authors, Hungarian']",,['9810680598705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Dramaturdzy węgierscy', 'Poeci węgierscy', 'Scenarzyści filmowi węgierscy']",,,,,,
Pisarze rosyjscy,Pisarze rosyjscy,"['Authors, Russian']",['Pseudonimy i kryptonimy rosyjskie'],['9810685099105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Dramaturdzy rosyjscy', 'Poeci rosyjscy', 'Scenarzyści filmowi rosyjscy']",,,,,,
Pisarze bułgarscy,Pisarze bułgarscy,"['Authors, Bulgarian']",['Pseudonimy i kryptonimy bułgarskie'],['9810685099605606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Poeci bułgarscy', 'Scenarzyści filmowi bułgarscy']",,,,,,
Pisarze fińscy,Pisarze fińscy,"['Authors, Finnish']",,['9810685101205606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze skandynawscy'],"['Poeci fińscy', 'Scenarzyści filmowi fińscy']",,,,,,
Pisarze szwedzcy,Pisarze szwedzcy,"['Authors, Swedish']",,['9810685101405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze skandynawscy'],"['Dramaturdzy szwedzcy', 'Poeci szwedzcy', 'Scenarzyści filmowi szwedzcy']",,,,,,
Pisarze litewscy,Pisarze litewscy,"['Authors, Lithuanian']",['Pseudonimy i kryptonimy litewskie'],['9810685102105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Dramaturdzy litewscy', 'Poeci litewscy']",,,,,,
Pisarze szkoccy,Pisarze szkoccy,"['Authors, Scottish ']",,['9810685361005606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,['Poeci szkoccy'],,,,,,
Pisarze ukraińscy,Pisarze ukraińscy,"['Authors, Ukrainian']",['Rozstrzelane odrodzenie'],['9810674553805606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Dramaturdzy ukraińscy', 'Poeci ukraińscy', 'Scenarzyści filmowi ukraińscy']",,,,,,
Pisarze amerykańscy,Pisarze amerykańscy,"['Authors, American']",['Pseudonimy i kryptonimy amerykańskie'],['9810632697405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Dramaturdzy amerykańscy', 'Poeci amerykańscy', 'Scenarzyści filmowi amerykańscy']",,,,,,
Pisarze radzieccy,Pisarze radzieccy,"['Authors, Soviet']",,['9810610971805606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,['Scenarzyści filmowi radzieccy'],,,,,,
Pisarze słowaccy,Pisarze słowaccy,"['Authors, Slovak']",['Pseudonimy i kryptonimy słowackie'],['9810610973805606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,['Scenarzyści filmowi słowaccy'],,,,,,
Pisarze angielscy,Pisarze angielscy,"['Authors, English']",['Pseudonimy i kryptonimy angielskie'],['9810610069805606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Dramaturdzy angielscy', 'Poeci angielscy', 'Scenarzyści filmowi angielscy']",,,,,,
Pisarze polscy,Pisarze polscy,"['Authors, Polish']","['Pisarze kaszubscy', 'Pseudonimy i kryptonimy polskie']",['9810642670105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q19157934,,Liste polnischer Schriftsteller,liste alphabétique d'écrivains polonais,list of Polish-language authors,Pisarze polscy,Q19157934,,,,"['Dramaturdzy polscy', 'Poeci polscy', 'Scenarzyści filmowi polscy']",,,,,,
Przekłady duńskie,Przekłady duńskie,,,['9810617341105606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Język duński'],,,,,,,
Pisarze białoruscy,Pisarze białoruscy,"['Authors, Belarusian']",['Pseudonimy i kryptonimy białoruskie'],['9810541299305606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Dramaturdzy białoruscy', 'Poeci białoruscy', 'Scenarzyści filmowi białoruscy']",,,,,,
Pisarze chińscy,Pisarze chińscy,"['Authors, Chinese']",['Pseudonimy i kryptonimy chińskie'],['9810541300505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,['Poeci chińscy'],,,,,,
Pisarze estońscy,Pisarze estońscy,"['Authors, Estonian']",['Pseudonimy i kryptonimy estońskie'],['9810541300705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,['Poeci estońscy'],,,,,,
Pisarze indyjscy,Pisarze indyjscy,"['Pisarze hinduscy', 'Authors, Indic']",,['9810541430705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Poeci indyjscy', 'Pseudonimy i kryptonimy indyjskie']",,,,,,
Pisarze włoscy,Pisarze włoscy,"['Authors, Italian']",['Pseudonimy i kryptonimy włoskie'],['9810674222805606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q855312,,Liste italienischer Schriftsteller,liste alphabétique d'écrivains italiens,list of Italian writers,Pisarze włoscy,Q855312,,,,"['Dramaturdzy włoscy', 'Poeci włoscy', 'Scenarzyści filmowi włoscy']",,,,,,
Pisarze ormiańscy,Pisarze ormiańscy,"['Pisarze armeńscy', 'Authors, Armenian']",,['9810656323705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,['Poeci ormiańscy'],,,,,,
Pisarze belgijscy,Pisarze belgijscy,"['Authors, Belgian ']",,['9810656324205606'],Literaturoznawstwo Kultura i sztuka,"['Literaturoznawstwo', 'Kultura i sztuka']",Literaturoznawstwo,,,,,,,,,,,"['Dramaturdzy belgijscy', 'Pisarze flamandzcy', 'Poeci belgijscy', 'Scenarzyści filmowi belgijscy']",,,,,,
Pisarze brazylijscy,Pisarze brazylijscy,"['Authors, Brazilian', 'Brazylijscy pisarze']",,['9810656227505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,['Poeci brazylijscy'],,,,,,
Pisarze duńscy,Pisarze duńscy,"['Authors, Danish ']",,['9810656228105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze skandynawscy'],"['Poeci duńscy', 'Scenarzyści filmowi duńscy']",,,,,,
Pisarze japońscy,Pisarze japońscy,"['Authors, Japanese']",,['9810656229405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Dramaturdzy japońscy', 'Scenarzyści filmowi japońscy', 'Poeci japońscy']",,,,,,
Pisarze bizantyńscy,Pisarze bizantyńscy,"['Authors, Byzantine ']",,['9810684466905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Pisarze bośniaccy,Pisarze bośniaccy,"['Authors, Bosnian ']",,['9810684461805606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,['Poeci bośniaccy'],,,,,,
Pisarze francuscy,Pisarze francuscy,"['Authors, French']",,['9810684462205606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Dramaturdzy francuscy', 'Pisarze prowansalscy', 'Poeci francuscy', 'Scenarzyści filmowi francuscy']",,,,,,
Pisarze gruzińscy,Pisarze gruzińscy,"['Authors, Georgian']",,['9810684465705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Poeci gruzińscy', 'Scenarzyści filmowi gruzińscy']",,,,,,
Pisarze hiszpańscy,Pisarze hiszpańscy,"['Authors, Spanish']",,['9810597584705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Dramaturdzy hiszpańscy', 'Pisarze katalońscy', 'Poeci hiszpańscy']",,,,,,
Pisarze irlandzcy,Pisarze irlandzcy,"['Authors, Irish ']",,['9810597585305606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Dramaturdzy irlandzcy', 'Poeci irlandzcy']",,,,,,
Pisarze kanadyjscy,Pisarze kanadyjscy,"['Authors, Canadian']",,['9810597586105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,['Poeci kanadyjscy'],,,,,,
Pisarze kuwejccy,Pisarze kuwejccy,"['Authors, Kuwaiti']",,['9810680498605606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Pisarze meksykańscy,Pisarze meksykańscy,"['Authors, Mexican']",,['9810680499105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,['Scenarzyści filmowi meksykańscy'],,,,,,
Pisarze norwescy,Pisarze norwescy,"['Authors, Norwegian']",,['9810680499305606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze skandynawscy'],"['Dramaturdzy norwescy', 'Scenarzyści filmowi norwescy', 'Poeci norwescy']",,,,,,
Pisarze rumuńscy,Pisarze rumuńscy,"['Authors, Romanian']",['Pseudonimy i kryptonimy rumuńskie'],['9810691977905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Dramaturdzy rumuńscy', 'Poeci rumuńscy', 'Scenarzyści filmowi rumuńscy']",,,,,,
Pisarze serbscy,Pisarze serbscy,"['Authors, Serbian']",,['9810691978805606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Poeci serbscy', 'Scenarzyści filmowi serbscy']",,,,,,
Pisarze wietnamscy,Pisarze wietnamscy,"['Authors, Vietnamese']",,['9810691409305606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Pisarze turkmeńscy,Pisarze turkmeńscy,"['Authors, Turkmen ']",,['9810691409505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Pisarze żydowscy,Pisarze żydowscy,['Jewish authors'],"['Pisarze izraelscy', 'Pseudonimy i kryptonimy żydowskie']",['9810695643405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Dramaturdzy żydowscy', 'Poeci żydowscy']",,,,,,
Pisarze łotewscy,Pisarze łotewscy,"['Authors, Latvian ']",,['9810695643505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,['Poeci łotewscy'],,,,,,
Pisarze kolumbijscy,Pisarze kolumbijscy,"['Authors, Colombian']",,['9810695643705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Pisarze bahrajńscy,Pisarze bahrajńscy,"['Authors, Bahrain']",,['9810695643805606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Pisarze arabscy,Pisarze arabscy,"['Authors, Arab']",,['9810695643905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Pisarze iraccy', 'Poeci arabscy']",,,,,,
Pisarze wenezuelscy,Pisarze wenezuelscy,"['Authors, Venezuelan']",,['9810695644105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,['Poeci wenezuelscy'],,,,,,
Pisarze greccy,Pisarze greccy,"['Authors, Greek']",,['9810695644205606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Dramaturdzy greccy', 'Poeci greccy']",,,,,,
Pisarze azerbejdżańscy,Pisarze azerbejdżańscy,"['Pisarze azerscy', 'Authors, Azerbaijani']",,['9810695644305606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,['Poeci azerbejdżańscy'],,,,,,
Pisarze kubańscy,Pisarze kubańscy,"['Authors, Cuban']",,['9810695644405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Poeci kubańscy', 'Scenarzyści filmowi kubańscy']",,,,,,
Pisarze hebrajscy,Pisarze hebrajscy,"['Authors, Hebrew']",,['9810695644705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Pisarze malajscy,Pisarze malajscy,"['Authors, Malay']",,['9810695644805606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Pisarze portorykańscy,Pisarze portorykańscy,"['Authors, Puerto Rican ']",,['9810695644905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Pisarze portugalscy,Pisarze portugalscy,"['Authors, Portuguese']",,['9810695645005606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Pisarze kaszubscy,Pisarze kaszubscy,"['Authors, Kashubian']",['Pisarze polscy'],['9810621245705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Dramaturdzy kaszubscy', 'Poeci kaszubscy']",,,,,,
Pisarze skandynawscy,Pisarze skandynawscy,"['Authors, Scandinavian']",,['9810563771005606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Pisarze duńscy', 'Pisarze fińscy', 'Pisarze norwescy', 'Pisarze szwedzcy']",,,,,,
Pisarze australijscy,Pisarze australijscy,"['Authors, Australian']",,['9810563790105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Poeci australijscy', 'Scenarzyści filmowi australijscy']",,,,,,
Pisarze łacińscy,Pisarze łacińscy,"['Pisarze rzymscy', 'Authors, Latin']",,['9810621266505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,['Poeci łacińscy'],,,,,,
Filologia japońska,Filologia japońska,"['Japonistyka', 'Japanese philology']",,['9810620974005606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Orientalistyka', 'Język japoński']",,,,,,,
Pisarze holenderscy,Pisarze holenderscy,"['Pisarze niderlandzcy', 'Authors, Dutch']",,['9810620980305606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Dramaturdzy holenderscy', 'Poeci holenderscy', 'Scenarzyści filmowi holenderscy']",,,,,,
Pisarze łużyccy,Pisarze łużyccy,"['Authors, Sorbian', 'Łużyccy, pisarze']",,['9810621146205606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,['Poeci łużyccy'],,,,,,
Pisarze prowansalscy,Pisarze prowansalscy,"['Authors, Provençal ']",,['9810621150105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze francuscy'],,,,,,,
Pisarze staroruscy,Pisarze staroruscy,"['Pisarze ruscy', 'Authors, Russian', 'To 1700']",,['9810662643905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Pisarze baskijscy,Pisarze baskijscy,"['Authors, Basque']",,['9810620005605606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Pisarze łemkowscy,Pisarze łemkowscy,"['Authors, Lemko']",,['9810662567905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Pisarze flamandzcy,Pisarze flamandzcy,"['Pisarze niderlandzcy', 'Authors, Flemish']",,['9810662568905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze belgijscy'],,,,,,,
Pisarze mongolscy,Pisarze mongolscy,"['Authors, Mongolian']",,['9810662569505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Pisarze nigeryjscy,Pisarze nigeryjscy,"['Authors, Nigerian']",,['9810677180705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,['Poeci nigeryjscy'],,,,,,
Pisarze nowozelandzcy,Pisarze nowozelandzcy,"['Authors, New Zealand ']",,['9810677180905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,['Poeci nowozelandzcy'],,,,,,
Pisarze tadżyccy,Pisarze tadżyccy,"['Authors, Tajik']",,['9810697241205606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Pisarze tureccy,Pisarze tureccy,"['Authors, Turkish']",,['9810697243605606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Poeci tureccy', 'Scenarzyści filmowi tureccy']",,,,,,
Zombi (stworzenia fantastyczne),Zombi (stworzenia fantastyczne),['Zombie'],"['Powroty zmarłych', 'Wudu']",['9810595020305606'],Etnologia i antropologia kulturowa Literaturoznawstwo,"['Etnologia i antropologia kulturowa', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Stworzenia fantastyczne'],,,,,,,
Pisarze katalońscy,Pisarze katalońscy,"['Authors, Catalan']",,['9810685168405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze hiszpańscy'],['Poeci katalońscy'],,,,,,
Przekłady katalońskie,Przekłady katalońskie,,,['9810685178005606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Język kataloński'],,,,,,,
Pisarze argentyńscy,Pisarze argentyńscy,"['Authors, Argentine']",,['9810619740905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Poeci argentyńscy', 'Scenarzyści filmowi argentyńscy']",,,,,,
Pisarze chilijscy,Pisarze chilijscy,"['Authors, Chilean']",,['9810535080405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Poeci chilijscy', 'Scenarzyści filmowi chilijscy']",,,,,,
Minimalizm literacki,Minimalizm literacki,,['Poetyka'],['9810535310705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Filologia koreańska,Filologia koreańska,['Koreanistyka'],,['9810557263405606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Filologia', 'Język koreański']",,,,,,,
Poeci,Poeci,['Poets'],,['9810656199105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q84156585,,Poeci,Poeci,Poetry,Poeci,Q84156585,,,['Pisarze'],,,,,,,
Poeci angielscy,Poeci angielscy,"['English poets', 'Poets, English']",,['9810540800405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q59558549,,,,,Poeci angielscy (wybór poezyi),Q59558549,,,['Pisarze angielscy'],,,,,,,
Poeci amerykańscy,Poeci amerykańscy,"['American poets', 'Poets, American']",,['9810540802105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze amerykańscy'],,,,,,,
Poeci australijscy,Poeci australijscy,"['Australian poets', 'Poets, Australian']",,['9810540802405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze australijscy'],,,,,,,
Poeci białoruscy,Poeci białoruscy,"['Belarusian poets', 'Poets, Belarusian']",,['9810540802805606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze białoruscy'],,,,,,,
Poeci czescy,Poeci czescy,"['Czech poets', 'Poets, Czech']",,['9810540803005606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze czescy'],,,,,,,
Poeci duńscy,Poeci duńscy,"['Danish poets', 'Poets, Danish']",,['9810540804105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze duńscy'],,,,,,,
Poeci estońscy,Poeci estońscy,"['Estonian poets', 'Poets, Estonian']",,['9810540804405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze estońscy'],,,,,,,
Poeci francuscy,Poeci francuscy,"['French poets', 'Poets, French']",,['9810540804905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze francuscy'],['Trubadurzy'],,,,,,
Poeci hiszpańscy,Poeci hiszpańscy,"['Poets, Spanish', 'Spanish poets']",,['9810540806005606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q1862970,,Liste spanischsprachiger Dichter,liste de poètes de langue espagnole,list of Spanish-language poets,Poeci języka hiszpańskiego,Q1862970,,,['Pisarze hiszpańscy'],,,,,,,
Poeci indyjscy,Poeci indyjscy,"['Poeci hinduscy', 'Indic poets', 'Poets, Indic']",,['9810540806405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze indyjscy'],,,,,,,
Poeci niemieccy,Poeci niemieccy,"['German poets', 'Poets, German']",,['9810540806805606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze niemieccy'],,,,,,,
Poeci polscy,Poeci polscy,"['Poets, Polish', 'Polish poets']",,['9810656657105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze polscy'],,,,,,,
Poeci pakistańscy,Poeci pakistańscy,"['Pakistani poets', 'Poets, Pakistani']",,['9810699823205606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze pakistańscy'],,,,,,,
Pisarze pakistańscy,Pisarze pakistańscy,"['Authors, Pakistani ']",,['9810699221405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,['Poeci pakistańscy'],,,,,,
Poeci rosyjscy,Poeci rosyjscy,"['Poets, Russian', 'Russian poets']",,['9810699222505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze rosyjscy'],,,,,,,
