,150,450a,550a,009a,all_categories,kategorie_tematyczne,subject_category,item,ukLabel,deLabel,frLabel,enLabel,plLabel,itemId,lcsh,yso,550g,550h,009,455,555a,555g,555h,155
Filologia polska,Filologia polska,['Polonistyka'],,['9810691186405606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q1463332,полоністика,Polonistik,philologie polonaise,Polish studies,polonistyka,Q1463332,,,"['Slawistyka', 'Język polski']",,,,,,,
Filologia portugalska,Filologia portugalska,['Iberystyka'],,['9810691189705606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Filologia romańska', 'Język portugalski']",,,,,,,
Filologia romańska,Filologia romańska,['Romanistyka'],,['9810691189905606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q1277348,романістика,Romanistik,romanistique,Romance studies,romanistyka,Q1277348,sh85114963,,"['Filologia', 'Języki romańskie']","['Filologia francuska', 'Filologia hiszpańska', 'Filologia portugalska', 'Filologia rumuńska', 'Filologia włoska']",,,,,,
Filologia rosyjska,Filologia rosyjska,['Rusycystyka'],,['9810593742505606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Slawistyka', 'Język rosyjski']",,,,,,,
Filologia rumuńska,Filologia rumuńska,,,['9810593753405606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Filologia romańska', 'Język mołdawski', 'Język rumuński']",,,,,,,
Filologia serbsko-chorwacka,Filologia serbsko-chorwacka,,,['9810593755305606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Slawistyka', 'Język serbsko-chorwacki']",,,,,,,
Filologia skandynawska,Filologia skandynawska,['Skandynawistyka'],,['9810593755805606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Filologia języków germańskich', 'Języki skandynawskie']",['Filologia szwedzka'],,,,,,
Filologia słowacka,Filologia słowacka,['Słowacystyka'],,['9810593756105606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Slawistyka', 'Język słowacki']",,,,,,,
Filologia słoweńska,Filologia słoweńska,,,['9810593756305606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Slawistyka', 'Język słoweński']",,,,,,,
Filologia ukraińska,Filologia ukraińska,,,['9810593757105606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Slawistyka', 'Język ukraiński']",,,,,,,
Filologia węgierska,Filologia węgierska,['Hungarystyka'],,['9810593757405606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q855627,гунгаристика,Hungarologie,études hongroises,Hungarian studies,hungarystyka,Q855627,,,"['Filologia ugrofińska', 'Język węgierski']",,,,,,,
